Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Australia,Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)","32.0 m × 23.0 m
105 ft × 75.5 ft 736 m
7,920 sq ft",Yes
Australia,Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,,"29.0 m × 23.8 m
95.1 ft × 78.1 ft 690 m
7,400 sq ft",Yes
New Zealand,Auckland,Event Cinemas Queen Street & IMAX,1.43:1,IMAX GT Laser,1.43:1,,27.0 m x 19.9 m,Yes
New Zealand,Lower Hutt,Event Cinemas Queensgate & IMAX,1.90:1,IMAX CoLa,1.90:1,,23.2 m x 12.5 m,Yes
