Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Morocco,Casablanca,Pathe Californie Casablanca & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.0 m × 0 m
68.9 ft × 0.00 ft",Yes
South Africa,Cape Town,Ster-Kinekor V&A Waterfront & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
